ncsClCd,KECO,name
19011101,1531.0,전기공학 기술자 및 연구원
19011102,1531.0,전기공학 기술자 및 연구원
19011103,1531.0,전기공학 기술자 및 연구원
19011201,1531.0,전기공학 기술자 및 연구원
19011202,1531.0,전기공학 기술자 및 연구원
19011301,1531.0,전기공학 기술자 및 연구원
19011301,8311.0,산업 전기공
19011401,284.0,생산·품질 사무원
19011401,1541.0,화학공학 기술자 및 연구원
19011401,8351.0,전기 부품·제품 생산기계 조작원
19020101,243.0,상품 기획자
19020101,1532.0,전자공학 기술자 및 연구원
19020102,8352.0,전자 부품·제품 생산기계 조작원
19020102,8360.0,전기·전자 부품·제품 조립원
19020201,243.0,상품 기획자
19020201,1532.0,전자공학 기술자 및 연구원
19020202,8352.0,전자 부품·제품 생산기계 조작원
19020202,8360.0,전기·전자 부품·제품 조립원
19020301,8321.0,사무용 전자기기 설치·수리원
19020301,8322.0,가전제품 설치·수리원
19020301,8411.0,컴퓨터 설치·수리원
19020301,8412.0,이동전화기 수리원
19020302,6121.0,기술 영업원
19030101,1331.0,시스템 소프트웨어 개발자
19030102,1332.0,응용 소프트웨어 개발자
19030103,1532.0,전자공학 기술자 및 연구원
19030104,1511.0,기계공학 기술자 및 연구원
19030201,1311.0,컴퓨터 하드웨어 기술자 및 연구원
19030201,1532.0,전자공학 기술자 및 연구원
19030202,1511.0,기계공학 기술자 및 연구원
19030203,1331.0,시스템 소프트웨어 개발자
19030203,1532.0,전자공학 기술자 및 연구원
19030301,1311.0,컴퓨터 하드웨어 기술자 및 연구원
19030301,1312.0,통신공학 기술자 및 연구원
19030302,1511.0,기계공학 기술자 및 연구원
19030303,1312.0,통신공학 기술자 및 연구원
19030303,1331.0,시스템 소프트웨어 개발자
19030401,1311.0,컴퓨터 하드웨어 기술자 및 연구원
19030401,1532.0,전자공학 기술자 및 연구원
19030402,1511.0,기계공학 기술자 및 연구원
19030403,1331.0,시스템 소프트웨어 개발자
19030403,1532.0,전자공학 기술자 및 연구원
19030501,1532.0,전자공학 기술자 및 연구원
19030502,1511.0,기계공학 기술자 및 연구원
19030503,1331.0,시스템 소프트웨어 개발자
19030503,1532.0,전자공학 기술자 및 연구원
19030601,1532.0,전자공학 기술자 및 연구원
19030602,8352.0,전자 부품·제품 생산기계 조작원
19030603,1511.0,기계공학 기술자 및 연구원
19030603,1532.0,전자공학 기술자 및 연구원
19030604,1532.0,전자공학 기술자 및 연구원
19030701,1532.0,전자공학 기술자 및 연구원
19030702,284.0,생산·품질 사무원
19030702,1532.0,전자공학 기술자 및 연구원
19030702,8352.0,전자 부품·제품 생산기계 조작원
19030703,1532.0,전자공학 기술자 및 연구원
19030801,1512.0,로봇공학 기술자 및 연구원
19030801,1532.0,전자공학 기술자 및 연구원
19030802,1512.0,로봇공학 기술자 및 연구원
19030803,1331.0,시스템 소프트웨어 개발자
19030803,1512.0,로봇공학 기술자 및 연구원
19030804,1331.0,시스템 소프트웨어 개발자
19030804,1512.0,로봇공학 기술자 및 연구원
19030804,1513.0,기계·로봇공학 시험원
19030805,1513.0,기계·로봇공학 시험원
19030805,8111.0,공업기계 설치·정비원
19030805,8150.0,자동조립라인·산업용로봇 조작원
19030806,1512.0,로봇공학 기술자 및 연구원
19030806,1513.0,기계·로봇공학 시험원
